date,AQI
2023-02-05,61.333333333333336
2023-02-06,42.0
2023-02-07,35.0
2023-02-08,52.0
2023-02-09,37.333333333333336
2023-02-10,37.333333333333336
2023-02-11,46.0
2023-02-12,41.666666666666664
2023-02-13,44.666666666666664
2023-02-14,41.666666666666664
2023-02-15,40.333333333333336
2023-02-16,32.333333333333336
2023-02-17,48.666666666666664
2023-02-18,47.0
2023-02-19,49.666666666666664
2023-02-20,53.666666666666664
2023-02-21,59.333333333333336
2023-02-22,35.333333333333336
2023-02-23,30.666666666666668
2023-02-24,23.666666666666668
2023-02-25,18.666666666666668
2023-02-26,38.666666666666664
2023-02-27,49.0
2023-02-28,30.666666666666668
2023-03-01,20.333333333333332
2023-03-02,44.0
2023-03-03,53.666666666666664
2023-03-04,50.666666666666664
2023-03-05,43.666666666666664
2023-03-06,32.666666666666664
2023-03-07,42.666666666666664
2023-03-08,47.333333333333336
2023-03-09,55.666666666666664
2023-03-10,44.333333333333336
2023-03-11,24.0
2023-03-12,26.666666666666668
2023-03-13,46.666666666666664
2023-03-14,47.0
2023-03-15,28.666666666666668
2023-03-16,34.666666666666664
2023-03-17,60.0
2023-03-18,47.0
2023-03-19,48.333333333333336
2023-03-20,31.0
2023-03-21,27.0
2023-03-22,34.0
2023-03-23,46.0
2023-03-24,41.666666666666664
2023-03-25,44.333333333333336
2023-03-26,46.333333333333336
2023-03-27,41.666666666666664
2023-03-28,43.333333333333336
2023-03-29,33.333333333333336
2023-03-30,29.666666666666668
2023-03-31,45.666666666666664
2023-04-01,48.0
2023-04-02,44.333333333333336
2023-04-03,25.333333333333332
2023-04-04,29.666666666666668
2023-04-05,48.666666666666664
2023-04-06,50.0
2023-04-07,53.666666666666664
2023-04-08,47.333333333333336
2023-04-09,47.333333333333336
2023-04-10,60.0
2023-04-11,64.66666666666667
2023-04-12,54.666666666666664
2023-04-13,29.666666666666668
2023-04-14,45.666666666666664
2023-04-15,54.0
2023-04-16,49.0
2023-04-17,52.333333333333336
2023-04-18,47.666666666666664
2023-04-19,51.333333333333336
2023-04-20,60.0
2023-04-21,60.666666666666664
2023-04-22,61.0
2023-04-23,53.333333333333336
2023-04-24,54.0
2023-04-25,51.0
2023-04-26,52.5
2023-04-27,58.0
2023-04-28,58.0
2023-04-29,50.5
2023-04-30,40.5
2023-05-01,30.5
2023-05-02,25.5
2023-05-03,26.666666666666668
2023-05-04,24.333333333333332
2023-05-05,27.666666666666668
2023-05-06,29.666666666666668
2023-05-07,30.666666666666668
2023-05-08,43.333333333333336
2023-05-09,40.0
2023-05-10,37.333333333333336
2023-05-11,46.333333333333336
2023-05-12,54.666666666666664
2023-05-13,53.333333333333336
2023-05-14,51.0
2023-05-15,61.666666666666664
2023-05-16,57.333333333333336
2023-05-17,55.0
2023-05-18,51.333333333333336
2023-05-19,55.666666666666664
2023-05-20,52.666666666666664
2023-05-21,46.666666666666664
2023-05-22,52.333333333333336
2023-05-23,34.0
2023-05-24,29.333333333333332
2023-05-25,34.666666666666664
2023-05-26,38.0
2023-05-27,41.666666666666664
2023-05-28,42.666666666666664
2023-05-29,31.666666666666668
2023-05-30,35.666666666666664
2023-05-31,33.0
2023-06-01,38.0
2023-06-02,45.333333333333336
2023-06-03,49.0
2023-06-04,49.0
2023-06-05,41.666666666666664
2023-06-06,38.666666666666664
2023-06-07,29.0
2023-06-08,39.666666666666664
2023-06-09,46.0
2023-06-10,43.666666666666664
2023-06-11,20.666666666666668
2023-06-12,33.666666666666664
2023-06-13,40.5
2023-06-14,35.0
2023-06-15,36.5
2023-06-16,42.5
2023-06-17,39.5
2023-06-18,34.0
2023-06-19,39.0
2023-06-20,46.333333333333336
2023-06-21,53.0
2023-06-22,47.666666666666664
2023-06-23,45.333333333333336
2023-06-24,47.0
2023-06-25,44.0
2023-06-26,48.0
2023-06-27,53.333333333333336
2023-06-28,48.0
2023-06-29,50.0
2023-06-30,56.666666666666664
2023-07-01,51.666666666666664
2023-07-02,52.333333333333336
2023-07-03,56.333333333333336
2023-07-04,71.33333333333333
2023-07-05,135.33333333333334
2023-07-06,53.0
2023-07-07,48.333333333333336
2023-07-08,45.666666666666664
2023-07-09,49.0
2023-07-10,57.333333333333336
2023-07-11,62.333333333333336
2023-07-12,54.333333333333336
2023-07-13,60.0
2023-07-14,58.0
2023-07-15,57.666666666666664
2023-07-16,49.0
